Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL E INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;EG SpA;041155019;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;RATIOPHARM ITALIA Srl;038614044;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;MYLAN SpA;039420043;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;RANBAXY ITALIA SpA;040064014;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;DOC GENERICI Srl;040114023;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;SANDOZ SpA;040410045;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;PENSA PHARMA SpA;040706018;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 2 mg + 0,625 mg;10,40;KRKA FARMACEUTICI MILANO Srl;042460042;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr riv 2,5 mg + 0,625 mg flacone;10,40;TEVA ITALIA Srl;041940014;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PRELECTAL*30 cpr riv 2,5 mg + 0,625 mg;14,90;STRODER Srl;034234260;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 2+0,625MG 30 UNITA' USO ORALE;PRETERAX*30 cpr riv 2,5 mg + 0,625 mg;14,90;SERVIER ITALIA SpA;034236240;ELA;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL E INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;EG SpA;041155060;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;RATIOPHARM ITALIA Srl;038614145;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;MYLAN SpA;039420310;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;RANBAXY ITALIA SpA;040064026;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;DOC GENERICI Srl;040114062;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;SANDOZ SpA;040410134;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;PENSA PHARMA SpA;040706020;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr 4 mg + 1,25 mg;10,40;KRKA FARMACEUTICI MILANO Srl;042460131;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PERINDOPRIL INDAPAMIDE*30 cpr riv 5 mg + 1,25 mg flacone;10,40;TEVA ITALIA Srl;041940053;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PRELECTAL*30 cpr riv 5 mg + 1,25 mg;14,90;STRODER Srl;034234361;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 4+1,25MG 30 UNITA' USO ORALE;PRETERAX*30 cpr riv 5 mg + 1,25 mg;14,90;SERVIER ITALIA SpA;034236341;ELB;X;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 10+2,5MG 30 UNITA' USO ORALE;NOLITERAX*30 cpr riv 10 mg + 2,5 mg;17,24;SERVIER ITALIA SpA;039224047;ELC;;;
Perindopril/indapamide;PERINDOPRIL+INDAPAMIDE 10+2,5MG 30 UNITA' USO ORALE;TERAXANS*30 cpr riv 10 mg + 2,5 mg;17,24;STRODER Srl;039227044;ELC;;;
Pilocarpina;PILOCARPINA 4% 10ML SOLUZIONE USO OFTALMICO;DROPILTON 4%*collirio 10 ml 4%;3,42;BRUSCHETTINI Srl;004897029;36A;X;;
Pilocarpina;PILOCARPINA 2% 10ML SOLUZIONE USO OFTALMICO;DROPILTON 2%*collirio 10 ml 2%;2,16;BRUSCHETTINI Srl;004897017;36C;X;;
Pilocarpina;PILOCARPINA 5MG 84 UNITA' USO ORALE;SALAGEN*84 cpr riv 5 mg;85,05;NOVARTIS FARMA SpA;029526047;36E;;;
Pimozide;PIMOZIDE 4MG 20 UNITA' USO ORALE;ORAP*20 cpr 4 mg;5,46;JANSSEN CILAG SpA;022907036;QCA;;;
Pindololo;PINDOLOLO 5MG 30 UNITA' USO ORALE;VISKEN*30 cpr 5 mg;3,36;TEOFARMA Srl;022674016;QDA;;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;MYLAN SpA;040476032;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;DOC GENERICI Srl;040633024;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;SANDOZ SpA;040675035;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;ZENTIVA ITALIA Srl;040694022;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;ACTAVIS ITALY SpA;041901024;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 15 mg;10,00;TECNIGEN Srl;042700017;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;ACTOS*28 cpr 15 mg;17,00;TAKEDA ITALIA SpA;034946018;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;GLUSTIN*28 cpr 15 mg;17,00;TAKEDA ITALIA SpA;034958013;QEA;X;;
Pioglitazone;PIOGLITAZONE 15MG 28 UNITA' USO ORALE;ACTOS*28 cpr 15 mg;36,59;MEDIWIN LIMITED;039673013;QEA;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;MYLAN SpA;040476121;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;DOC GENERICI Srl;040633125;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;SANDOZ SpA;040675151;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;ZENTIVA ITALIA Srl;040694150;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;ACTAVIS ITALY SpA;041901113;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 30 mg;15,00;TECNIGEN Srl;042700029;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;ACTOS*28 cpr 30 mg;21,00;TAKEDA ITALIA SpA;034946044;QEB;X;;
Pioglitazone;PIOGLITAZONE 30MG 28 UNITA' USO ORALE;GLUSTIN*28 cpr 30 mg;21,00;TAKEDA ITALIA SpA;034958049;QEB;X;;
Pioglitazone;PIOGLITAZONE 45MG 28 UNITA' USO ORALE;PIOGLITAZONE*28 cpr 45 mg;30,94;TECNIGEN Srl;042700031;QEC;X;;
Pioglitazone;PIOGLITAZONE 45MG 28 UNITA' USO ORALE;ACTOS*28 cpr 45 mg;56,24;TAKEDA ITALIA SpA;034946121;QEC;X;;
Pioglitazone/glimepiride;PIOGLITAZONE+GLIMEPIRIDE 30+4MG 28 UNITA' USO ORALE;TANDEMACT*28 cpr 30 mg + 4 mg;56,24;TAKEDA ITALIA SpA;038345029;QFA;;;
Pioglitazone/glimepiride;PIOGLITAZONE+GLIMEPIRIDE 30+2MG 28 UNITA' USO ORALE;TANDEMACT*28 cpr 30 mg + 2 mg;50,63;TAKEDA ITALIA SpA;038345144;QFB;;;
Pioglitazone/metformina;PIOGLITAZONE+METFORMINA 15+850MG 56 UNITA' USO ORALE;COMPETACT*56 cpr riv 15 mg + 850 mg;56,24;TAKEDA ITALIA SpA;037225099;QGA;;;
Pioglitazone/metformina;PIOGLITAZONE+METFORMINA 15+850MG 56 UNITA' USO ORALE;GLUBRAVA*56 cpr riv 15 mg + 850 mg;56,24;TAKEDA ITALIA SpA;038529057;QGA;;;
Piperacillina;PIPERACILLINA 1.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala 1 g + 1 fiala solv 2 ml;3,96;TEVA ITALIA Srl;029221013;19A;X;;
Piperacillina;PIPERACILLINA 1.000MG 1 UNITA' USO PARENTERALE;PIPERITAL*1 flaconcino IM 1 g + 1 fiala solv 2 ml;3,96;I.B.I.GIOVANNI LORENZINI SpA;028735013;19A;X;;
Piperacillina;PIPERACILLINA 1.000MG 1 UNITA' USO PARENTERALE;PIPERTEX*1 fiala 1 g + 1 fiala solv 2 ml;3,96;PHARMATEX ITALIA Srl;033958012;19A;X;;
Piperacillina;PIPERACILLINA 1.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala IM 1 g + 1 fiala solv 2 ml;4,01;K24 PHARMACEUTICALS Srl;033423017;19A;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PICILLIN*1 fiala IM EV 2 g + 1 fiala solv 4 ml;5,36;C.T. LAB.FARMACEUTICO Srl;025671049;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala 2 g + 1 fiala solv 4 ml;5,36;TEVA ITALIA Srl;029221025;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala 2 g + 1 fiala solv 4 ml;5,36;SANDOZ SpA;033324029;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala 2 g + 1 fiala solv 4 ml;5,36;EG SpA;033690025;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala 2 g + 1 fiala solv 4 ml;5,36;DOC GENERICI Srl;034391021;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERACILLINA*1 fiala IM 2 g + 1 fiala solv 4 ml;5,36;K24 PHARMACEUTICALS Srl;033423029;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERITAL*1 flaconcino IM 2 g + 1 fiala solv 4 ml;5,36;I.B.I.GIOVANNI LORENZINI SpA;028735025;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;SEMIPENIL*1 fiala IM 2 g + 1 fiala solv 4 ml;5,36;MAGIS FARMACEUTICI SpA;032799025;19B;X;;
Piperacillina;PIPERACILLINA 2.000MG 1 UNITA' USO PARENTERALE;PIPERTEX*1 fiala IM 2 g + 1 fiala solv 4 ml;5,37;PHARMATEX ITALIA Srl;033958024;19B;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;IBITAZINA*1 flaconcino IM 2 g + 250 mg/4 ml + 1 fiala solv 4 ml;6,66;IBIGEN Srl;038110019;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;LIMERIK*1 fiala IM 2 g + 250 mg/4 ml;6,66;C.T. LAB.FARMACEUTICO Srl;037360017;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;REPITA*1 flacone IM 2 g + 250 mg/4 ml;6,66;FIDIA FARMACEUTICI SpA;037511019;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;TAIPER*1 flaconcino IM 2 g + 250 mg/4 ml + 1 fiala solv 4 ml;6,66;SO.SE.PHARM Srl;037667019;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;PIPERACILLINA TAZOBACTAM*1 flaconcino IM 2 g + 250 mg;8,04;TEVA ITALIA Srl;037666017;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;PIPERACILLINA TAZOBACTAM*1 flaconcino IM 2 g + 250 mg;8,04;MYLAN SpA;037668011;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;PIPERACILLINA TAZOBACTAN*1 flaconcino IM 2 g + 250 mg/4 ml + 1 fiala solv 4 ml;8,04;FRESENIUS KABI ITALIA Srl;037353012;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;TAZOPENIL*1 flaconcino IM 2 g + 250 mg/4 ml;8,04;MAGIS FARMACEUTICI SpA;038181018;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;TEXTAZO*1 flaconcino IM 2 g + 250 mg/4 ml;8,04;PHARMATEX ITALIA Srl;038558019;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;TAZOBAC*1 flaconcino IM 2 g + 0,25 g + 1 fiala solv 4 ml;10,45;PFIZER ITALIA Srl;028512022;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE;TAZOCIN*1 flaconcino IM 2 g/4 ml + 0,25 g/4 ml + 1 fiala solv 4 ml;10,45;PFIZER ITALIA Srl;028249023;E7A;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE EV;PIPERACILLINA TAZOBACTAM*1 flaconcino EV 2 g + 0,25 g;6,66;AUROBINDO PHARMA ITALIA Srl;039786013;E7B;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE EV;PIPERACILLINA TAZOBACTAM*1 flaconcino EV 2 g + 0,25 g;8,04;IBIGEN Srl;038476014;E7B;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE EV;PIPERACILLINA TAZOBACTAM*1 flaconcino EV 2 g + 0,25 g;8,04;SANDOZ SpA;038717017;E7B;X;;
Piperacillina/tazobactam;PIPERACILLINA+TAZOBACTAM 2+0,25G 1 UNITA' USO PARENTERALE EV;PIPERACILLINA TAZOBACTAM*1 flaconcino EV 2 g + 0,25 g;8,04;HOSPIRA ITALIA Srl;039057017;E7B;X;;
Pipetanato;PIPETANATO 10MG 6 UNITA' USO PARENTERALE;SPASMODIL*6 fiale IM EV 10 mg 1 ml;2,43;SOFAR SpA;028580037;QHA;;;
Pipobromano;PIPOBROMANO 25MG 30 UNITA' USO ORALE;VERCITE*30 cpr 25 mg;2,53;ABBOTT Srl;021992021;QIA;;;
Pirantel;PIRANTEL 250MG 8 UNITA' USO ORALE;COMBANTRIN*8 cpr mast 250 mg;6,11;PFIZER ITALIA Srl;023003027;QJA;;;
Pirantel;PIRANTEL 5% 30ML USO ORALE;COMBANTRIN*os sosp 30 ml 250 mg/5 ml;4,75;PFIZER ITALIA Srl;023003041;QJB;;;
Pirazinamide;PIRAZINAMIDE 500MG 50 UNITA' USO ORALE;PIRALDINA*50 cpr 500 mg;6,97;BRACCO SpA DIV.FARMACEUTICA;010800011;QKA;;;
Piridostigmina;PIRIDOSTIGMINA 180MG 50 UNITA' USO ORALE RP;MESTINON*50 cpr 180 mg rilascio prolungato;107,21;MEDA PHARMA SpA;009286042;QLA;;;
Piridostigmina;PIRIDOSTIGMINA 60MG 20 UNITA' USO ORALE;MESTINON*20 cpr 60 mg;4,65;MEDA PHARMA SpA;009286016;QLB;;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;IPSOFLOG*30 cpr solub 20 mg;3,43;TECNOPHARMA Srl;034919047;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cpr 20 mg;3,43;HEXAL SpA;029461023;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cpr solub 20 mg;3,43;EG SpA;029534031;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cpr solub 20 mg;3,43;RATIOPHARM ITALIA Srl;031222033;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cps 20 mg;3,43;EG SpA;029534029;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cps 20 mg;3,43;RATIOPHARM ITALIA Srl;031222021;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cps 20 mg;3,43;DR.REDDY'S Srl;033060017;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;PIROXICAM*30 cps 20 mg;3,43;DOC GENERICI Srl;033788011;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;ROXIDEN*30 cps 20 mg;3,43;S.F.GROUP Srl;025062035;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;FELDENE*30 cpr solub 20 mg;9,71;PFIZER ITALIA Srl;024249056;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;FELDENE*30 cps 20 mg;9,71;PFIZER ITALIA Srl;024249029;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;BREXIN*30 cpr div 20 mg;12,57;PROMEDICA Srl;026446056;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;BREXIN*30 cpr eff 20 mg;12,57;PROMEDICA Srl;026446106;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;CICLADOL*30 cpr div 20 mg;12,57;MASTER PHARMA Srl;026447058;29A;X;;
Piroxicam;PIROXICAM 20MG 30 UNITA' USO ORALE;CICLADOL*30 cpr eff 20 mg;12,57;MASTER PHARMA Srl;026447108;29A;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;BREXIVEL*6 fiale IM 20 mg 1 ml;3,43;PROMEDICA Srl;027371071;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;IPSOFLOG*6 fiale IM 20 mg 1 ml;3,43;TECNOPHARMA Srl;034919035;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;PIROXICAM*6 fiale IM 20 mg 1 ml;3,43;EG SpA;029534017;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;PIROXICAM*6 fiale IM 20 mg 1 ml;3,43;RATIOPHARM ITALIA Srl;031222019;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;PIROXICAM*6 fiale IM 20 mg 1 ml;3,43;SANDOZ SpA;033415035;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;PIROXICAM*6 fiale IM 20 mg 1 ml;3,43;DOC GENERICI Srl;034859037;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;REUMAGIL*6 fiale IM 20 mg 1 ml;3,43;S.F.GROUP Srl;025262066;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;ROXIDEN*6 fiale IM 20 mg 1 ml;3,43;S.F.GROUP Srl;025062074;29B;X;;
Piroxicam;PIROXICAM 20MG 6 UNITA' USO PARENTERALE;FELDENE*6 fiale IM 20 mg 1 ml;4,60;PFIZER ITALIA Srl;024249068;29B;X;;
Piroxicam;PIROXICAM 20MG 3 UNITA' USO PARENTERALE;PIROXICAM*3 fiale IM 20 mg 1 ml;1,87;HEXAL SpA;029461035;29C;X;;
Piroxicam;PIROXICAM 20MG 20 UNITA' USO ORALE;FELDENE FAST*20 cpr sublinguali 20 mg;7,46;PFIZER ITALIA Srl;028437022;29E;;;
Piroxicam;PIROXICAM 20MG 20 UNITA' USO ORALE;BREXIN*20 bust grat 20 mg;9,93;PROMEDICA Srl;026446031;29E;;;
Piroxicam;PIROXICAM 20MG 20 UNITA' USO ORALE;CICLADOL*20 bust grat 20 mg;9,93;MASTER PHARMA Srl;026447033;29E;;;
Pizotifene;PIZOTIFENE 0,5MG 20 UNITA' USO ORALE;SANDOMIGRAN*20 cpr riv 0,5 mg;2,12;NOVARTIS FARMA SpA;022437014;QMA;;;
Posaconazolo;POSACONAZOLO 40MG/ML 105ML USO ORALE;NOXAFIL*os sosp 105 ml 40 mg/ml;1019,13;MSD ITALIA Srl;037059019;BSI;;;
Potassio canrenoato;POTASSIO CANRENOATO 100MG 20 UNITA' USO ORALE;DIUREK*20 cpr riv 100 mg;4,33;S.F.GROUP Srl;033921014;B0A;X;;
Potassio canrenoato;POTASSIO CANRENOATO 100MG 20 UNITA' USO ORALE;POTASSIO CANRENOATO*20 cpr riv 100 mg;4,33;PENSA PHARMA SpA;033807013;B0A;X;;
Potassio canrenoato;POTASSIO CANRENOATO 100MG 20 UNITA' USO ORALE;POTASSIO CANRENOATO*20 cpr riv 100 mg;4,33;SANDOZ SpA;035556012;B0A;X;;
Potassio canrenoato;POTASSIO CANRENOATO 100MG 20 UNITA' USO ORALE;POTASSIO CANRENOATO*20 cpr riv 100 mg;4,33;EG SpA;035557014;B0A;X;;
Potassio canrenoato;POTASSIO CANRENOATO 100MG 20 UNITA' USO ORALE;KANRENOL*20 cpr 100 mg;5,42;TEOFARMA Srl;023745072;B0A;X;;
Potassio canrenoato;POTASSIO CANRENOATO 200MG 20 UNITA' USO ORALE;KANRENOL*20 cpr riv 200 mg;13,31;TEOFARMA Srl;023745108;B0B;;;
Potassio canrenoato/butizide;POTASSIO CANRENOATO+BUTIZIDE 50+5MG 20 UNITA' USO ORALE;KADIUR*20 cpr riv 50 mg + 5 mg;6,11;THERABEL GIENNE PHARMA SpA;025166024;QNA;;;
Potassio cloruro;POTASSIO CLORURO 600MG 40 UNITA' USO ORALE RP;KCL RETARD*40 cpr 600 mg rilascio prolungato;3,78;ASTELLAS PHARMA SpA;023638012;QOA;;;
Potassio perclorato;POTASSIO PERCLORATO 200MG 30 UNITA' USO ORALE;PERTIROID*30 cps 200 mg;4,65;PIAM FARMACEUTICI SpA;013346010;QPA;;;
Pralidoxima;PRALIDOXIMA 200MG 1 UNITA' USO PARENTERALE;CONTRATHION*1 flaconcino EV 200 mg + 1 fiala 10 ml solv;4,85;SANOFI-AVENTIS SpA;021091018;QQA;;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;OPRYMEA*30 cpr 0,18 mg;5,00;KRKA FARMACEUTICI MILANO Srl;041010075;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;EG SpA;039188026;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;BLUEFISH PHARMACEUTICALS AB;039843014;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;ZENTIVA ITALIA Srl;039849031;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;TEVA ITALIA Srl;039936051;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;ANGENERICO SpA;039940111;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;GERMED PHARMA SpA;039942038;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;PENSA PHARMA SpA;040056018;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;MYLAN SpA;040084143;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;SANDOZ SpA;040474013;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;PRAMIPEXOLO*30 cpr 0,18 mg;5,00;AUROBINDO PHARMA ITALIA Srl;041097039;F4A;X;;
Pramipexolo;PRAMIPEXOLO 0,18MG 30 UNITA' USO ORALE;RAMIXOLE*30 cpr 0,18 mg;5,00;ACTAVIS ITALY SpA;040110049;F4A;X;;
